"","Block","RandOrder","Word","TargetValence","PrimeValence","Answer","RandTransp","RT","Correct","Id","Congruence","OMSI","AGE","GENDER","MusExpertise"
"44","MAJ_MIN",14,"fatal","NegWord","PosChord",1,1,608,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"45","MAJ_MIN",15,"dismal","NegWord","PosChord",1,2,551,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"46","MAJ_MIN",6,"kiss","PosWord","PosChord",2,10,548,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"47","MAJ_MIN",20,"cuddle","PosWord","NegChord",2,3,502,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"48","MAJ_MIN",9,"rabid","NegWord","PosChord",1,6,514,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"49","MAJ_MIN",11,"death","NegWord","PosChord",1,8,576,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"50","MAJ_MIN",22,"kiss","PosWord","NegChord",2,11,497,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"51","MAJ_MIN",28,"vomit","NegWord","NegChord",1,10,477,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"52","MAJ_MIN",5,"excite","PosWord","PosChord",2,6,772,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"53","MAJ_MIN",29,"arrest","NegWord","NegChord",1,11,545,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"54","MAJ_MIN",13,"arrest","NegWord","PosChord",1,9,618,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"55","MAJ_MIN",12,"vomit","NegWord","PosChord",1,10,637,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"56","MAJ_MIN",16,"morgue","NegWord","PosChord",1,4,558,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"57","MAJ_MIN",25,"rabid","NegWord","NegChord",1,3,696,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"58","MAJ_MIN",3,"gentle","PosWord","PosChord",2,9,483,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"59","MAJ_MIN",21,"excite","PosWord","NegChord",2,2,527,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"60","MAJ_MIN",28,"vomit","NegWord","NegChord",1,10,506,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"61","MAJ_MIN",26,"hijack","NegWord","NegChord",1,8,620,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"62","MAJ_MIN",25,"rabid","NegWord","NegChord",1,9,666,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"63","MAJ_MIN",12,"vomit","NegWord","PosChord",1,7,486,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"64","MAJ_MIN",27,"death","NegWord","NegChord",1,1,676,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"65","MAJ_MIN",11,"death","NegWord","PosChord",1,10,380,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"66","MAJ_MIN",15,"dismal","NegWord","PosChord",1,7,478,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"67","MAJ_MIN",10,"hijack","NegWord","PosChord",1,6,482,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"68","MAJ_MIN",18,"lively","PosWord","NegChord",2,2,634,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"69","MAJ_MIN",16,"morgue","NegWord","PosChord",1,11,494,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"70","MAJ_MIN",2,"lively","PosWord","PosChord",2,1,555,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"71","MAJ_MIN",4,"cuddle","PosWord","PosChord",2,1,499,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"72","MAJ_MIN",13,"arrest","NegWord","PosChord",1,11,349,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"73","MAJ_MIN",22,"kiss","PosWord","NegChord",2,7,530,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"74","MAJ_MIN",1,"sweet","PosWord","PosChord",2,2,535,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"75","MAJ_MIN",30,"fatal","NegWord","NegChord",1,1,619,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"76","MAJ_MIN",23,"comfy","PosWord","NegChord",2,7,579,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"77","MAJ_MIN",17,"sweet","PosWord","NegChord",2,4,534,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"78","MAJ_MIN",3,"gentle","PosWord","PosChord",2,5,473,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"79","MAJ_MIN",21,"excite","PosWord","NegChord",2,6,481,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"80","MAJ_MIN",6,"kiss","PosWord","PosChord",2,9,472,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"81","MAJ_MIN",24,"relax","PosWord","NegChord",2,1,523,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"82","MAJ_MIN",7,"comfy","PosWord","PosChord",2,7,426,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"83","MAJ_MIN",32,"morgue","NegWord","NegChord",1,1,525,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"84","MAJ_MIN",19,"gentle","PosWord","NegChord",2,11,516,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"85","MAJ_MIN",20,"cuddle","PosWord","NegChord",2,8,486,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"86","MAJ_MIN",9,"rabid","NegWord","PosChord",1,8,541,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"87","MAJ_MIN",6,"kiss","PosWord","PosChord",2,5,456,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"88","MAJ_MIN",25,"rabid","NegWord","NegChord",1,5,497,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"89","MAJ_MIN",29,"arrest","NegWord","NegChord",1,1,534,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"90","MAJ_MIN",28,"vomit","NegWord","NegChord",1,10,469,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"91","MAJ_MIN",18,"lively","PosWord","NegChord",2,6,468,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"92","MAJ_MIN",19,"gentle","PosWord","NegChord",2,3,747,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"93","MAJ_MIN",21,"excite","PosWord","NegChord",2,5,478,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"94","MAJ_MIN",15,"dismal","NegWord","PosChord",1,8,555,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"95","MAJ_MIN",11,"death","NegWord","PosChord",1,4,580,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"96","MAJ_MIN",3,"gentle","PosWord","PosChord",2,11,622,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"97","MAJ_MIN",16,"morgue","NegWord","PosChord",1,2,543,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"98","MAJ_MIN",8,"relax","PosWord","PosChord",2,4,475,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"99","MAJ_MIN",4,"cuddle","PosWord","PosChord",2,2,487,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"100","MAJ_MIN",31,"dismal","NegWord","NegChord",1,4,452,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"101","MAJ_MIN",17,"sweet","PosWord","NegChord",2,1,534,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"102","MAJ_MIN",12,"vomit","NegWord","PosChord",1,11,512,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"103","MAJ_MIN",7,"comfy","PosWord","PosChord",2,5,444,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"104","MAJ_MIN",14,"fatal","NegWord","PosChord",1,5,473,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"105","MAJ_MIN",9,"rabid","NegWord","PosChord",1,11,532,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"106","MAJ_MIN",10,"hijack","NegWord","PosChord",1,9,609,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"107","MAJ_MIN",26,"hijack","NegWord","NegChord",1,3,461,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"108","MAJ_MIN",20,"cuddle","PosWord","NegChord",2,2,464,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"109","MAJ_MIN",32,"morgue","NegWord","NegChord",1,11,460,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"110","MAJ_MIN",27,"death","NegWord","NegChord",1,3,500,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"111","MAJ_MIN",30,"fatal","NegWord","NegChord",1,10,580,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"112","MAJ_MIN",2,"lively","PosWord","PosChord",2,4,521,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"113","MAJ_MIN",24,"relax","PosWord","NegChord",2,5,788,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"114","MAJ_MIN",1,"sweet","PosWord","PosChord",2,9,718,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"115","MAJ_MIN",22,"kiss","PosWord","NegChord",2,3,448,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"116","MAJ_MIN",23,"comfy","PosWord","NegChord",2,5,483,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"117","MAJ_MIN",6,"kiss","PosWord","PosChord",2,2,443,1,"concept_priming1.2023-05-05-1523.data.4b894638-6cdf-4ae8-ac14-adac5eda6f4c.txt","Congruent",2,25,1,"Non-musician"
"118","MAJ_MIN",22,"kiss","PosWord","NegChord",2,2,478,1,"concept_priming1.2023-05-05-1523.data.4b894638-6cdf-4ae8-ac14-adac5eda6f4c.txt","Incongruent",2,25,1,"Non-musician"
"119","MAJ_MIN",18,"lively","PosWord","NegChord",2,1,745,1,"concept_priming1.2023-05-05-1523.data.4b894638-6cdf-4ae8-ac14-adac5eda6f4c.txt","Incongruent",2,25,1,"Non-musician"
