"","Block","RandOrder","Word","TargetValence","PrimeValence","Answer","RandTransp","RT","Correct","Id","Congruence","OMSI","AGE","GENDER","MusExpertise"
"45","MAJ_DIM",24,"relax","PosWord","NegChord",2,10,463,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Incongruent",1,28,1,"Non-musician"
"46","MAJ_DIM",29,"arrest","NegWord","NegChord",1,4,482,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Congruent",1,28,1,"Non-musician"
"47","MAJ_DIM",16,"morgue","NegWord","PosChord",1,1,432,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Incongruent",1,28,1,"Non-musician"
"48","MAJ_DIM",21,"excite","PosWord","NegChord",2,11,409,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Incongruent",1,28,1,"Non-musician"
"49","MAJ_DIM",25,"rabid","NegWord","NegChord",1,2,435,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Congruent",1,28,1,"Non-musician"
"50","MAJ_DIM",6,"kiss","PosWord","PosChord",2,10,410,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Congruent",1,28,1,"Non-musician"
"51","MAJ_DIM",15,"dismal","NegWord","PosChord",1,3,453,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Incongruent",1,28,1,"Non-musician"
"52","MAJ_DIM",28,"vomit","NegWord","NegChord",1,11,464,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Congruent",1,28,1,"Non-musician"
"53","MAJ_DIM",3,"gentle","PosWord","PosChord",2,1,393,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Congruent",1,28,1,"Non-musician"
"54","MAJ_DIM",5,"excite","PosWord","PosChord",2,11,445,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Congruent",1,28,1,"Non-musician"
"55","MAJ_DIM",23,"comfy","PosWord","NegChord",2,7,371,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Incongruent",1,28,1,"Non-musician"
"56","MAJ_DIM",4,"cuddle","PosWord","PosChord",2,2,385,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Congruent",1,28,1,"Non-musician"
"57","MAJ_DIM",19,"gentle","PosWord","NegChord",2,9,378,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Incongruent",1,28,1,"Non-musician"
"58","MAJ_DIM",27,"death","NegWord","NegChord",1,11,399,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Congruent",1,28,1,"Non-musician"
"59","MAJ_DIM",22,"kiss","PosWord","NegChord",2,9,437,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Incongruent",1,28,1,"Non-musician"
"60","MAJ_DIM",2,"lively","PosWord","PosChord",2,2,443,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Congruent",1,28,1,"Non-musician"
"61","MAJ_DIM",20,"cuddle","PosWord","NegChord",2,1,419,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Incongruent",1,28,1,"Non-musician"
"62","MAJ_DIM",8,"relax","PosWord","PosChord",2,5,436,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Congruent",1,28,1,"Non-musician"
"63","MAJ_DIM",25,"rabid","NegWord","NegChord",1,11,611,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Congruent",2,22,1,"Non-musician"
"64","MAJ_DIM",3,"gentle","PosWord","PosChord",2,5,661,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Congruent",2,22,1,"Non-musician"
"65","MAJ_DIM",14,"fatal","NegWord","PosChord",1,9,646,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Incongruent",2,22,1,"Non-musician"
"66","MAJ_DIM",8,"relax","PosWord","PosChord",2,3,639,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Congruent",2,22,1,"Non-musician"
"67","MAJ_DIM",7,"comfy","PosWord","PosChord",2,6,425,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Congruent",2,22,1,"Non-musician"
"68","MAJ_DIM",27,"death","NegWord","NegChord",1,11,408,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Congruent",2,22,1,"Non-musician"
"69","MAJ_DIM",6,"kiss","PosWord","PosChord",2,9,446,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Congruent",2,22,1,"Non-musician"
"70","MAJ_DIM",15,"dismal","NegWord","PosChord",1,8,543,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Incongruent",2,22,1,"Non-musician"
"71","MAJ_DIM",22,"kiss","PosWord","NegChord",2,3,430,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Incongruent",2,22,1,"Non-musician"
"72","MAJ_DIM",31,"dismal","NegWord","NegChord",1,10,440,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Congruent",2,22,1,"Non-musician"
"73","MAJ_DIM",5,"excite","PosWord","PosChord",2,2,481,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Congruent",2,22,1,"Non-musician"
"74","MAJ_DIM",4,"cuddle","PosWord","PosChord",2,10,336,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Congruent",2,22,1,"Non-musician"
"75","MAJ_DIM",11,"death","NegWord","PosChord",1,6,510,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Incongruent",2,22,1,"Non-musician"
"76","MAJ_DIM",28,"vomit","NegWord","NegChord",1,3,551,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Congruent",2,22,1,"Non-musician"
"77","MAJ_DIM",13,"arrest","NegWord","PosChord",1,8,651,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Incongruent",2,22,1,"Non-musician"
"78","MAJ_DIM",2,"lively","PosWord","PosChord",2,6,515,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Congruent",2,22,1,"Non-musician"
